"PreMajor","IMajor","FMajor","Masters","PhD","Prof","NM","total","MeanAge","Males","White","FT","Transfer","Resident","Foreign","MeanCredits","MeanTransCredit","MeanUCredit","MeanUGPA","MeanHSGPA","MeanTransGPA","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","Fresh","Soph","Jr","Sen","Grad","C1","C2","C3","C4","C5","HS1","HS2","HS3","HS4","HS5","T1","T2","T3","T4","T5","cnum","secnum","term","Dept"
"17","0","61","0","0","0","1","79","27.3","38%","72%","76%","67%","94%","1%","12.6","58.6","57.6","3.10","3.41","3.14","Sociology","Psychology","Political Science","SS Behav Science & Health","Human Develop & Family Std","Education","Business","Medicine","Mass Communication","Environment & Behavior","1%","4%","28%","67%","0%","SOC 3561 - Criminology","SOC 3112 - Social Statistics","SOC 1015 - Doing Sociology","SOC 3111 - Research Methods","SOC 3480 - Environmental Sociology","GRANITE HIGH SCHOOL","HIGHLAND HIGH SCHOOL","WEST HIGH SCHOOL","AMES - ACAD MATH ENG","BEN LOMOND HIGH SCHO","SALT LAKE COMMUNITY COLLEGE","UTAH VALLEY UNIVERSITY","BRIGHAM YOUNG UNIVERSITY","AUSTIN PEAY STATE UNIVERSITY","BOISE STATE UNIVERSITY",3140,90,1124,"GEOG"
"33","2","44","0","0","0","1","80","23.1","46%","75%","80%","34%","95%","3%","13.5","36.7","57.4","2.99","3.62","3.27","Sociology","Psychology","Medicine","Social Work","Undeclared","Nursing","Political Science","Pharmacy","Economics","Health, Society and Policy","9%","29%","28%","35%","0%","SOC 1015 - Doing Sociology","WRTG 2010 - Intermediate Writing","SOC 3140 - Social Theory","SOC 3561 - Criminology","PHYS 2220 - Phycs For Scien. & Eng. II","OLYMPUS HIGH SCHOOL","BRIGHTON HIGH SCHOOL","JORDAN HIGH SCHOOL","VIEWMONT HIGH SCHOOL","ALTA HIGH SCHOOL","SALT LAKE COMMUNITY COLLEGE","UTAH VALLEY UNIVERSITY","BRIGHAM YOUNG UNIVERSITY","BRIGHAM YOUNG UNIVERSITY - IDAHO","GUANGDONG UNIVERSITY OF FOREIGN STUDIES",1010,90,1128,"GEOG"
"9","0","61","0","0","0","0","70","24.3","46%","67%","89%","50%","86%","1%","13.7","56.7","53.2","3.11","3.42","3.26","Sociology","Psychology","Undeclared","Mass Communication","Political Science","Business","History","Russian","Health Promotn & Educ","International Studies","1%","19%","43%","37%","0%","SOC 3112 - Social Statistics","SOC 3381 - Inequal thru Music&Film","GNDR 3337 - Gender & Sexuality","SOC 1015 - Doing Sociology","SOC 3111 - Research Methods","BINGHAM HIGH SCHOOL","EAST HIGH SCHOOL","HIGHLAND HIGH SCHOOL","JUDGE MEMORIAL HIGH","OLYMPUS HIGH SCHOOL","SALT LAKE COMMUNITY COLLEGE","LDS BUSINESS COLLEGE","UTAH VALLEY UNIVERSITY","WEBER STATE UNIVERSITY","BRIGHAM YOUNG UNIVERSITY - IDAHO",3140,1,1128,"GEOG"
"0","0","2","0","0","0","0","2","23.0","0%","50%","50%","0%","100%","0%","10.5","17.5","123.5","3.38","3.46","3.25","Univ Studies Soc Behav Sci","Sociology",NA,NA,NA,NA,NA,NA,NA,NA,"0%","0%","0%","100%","0%","COMM 3670 - Princ Of Advertising","MGT 5000 - Entrepreneurship","MKTG 5000 - Marketing Management","ECON 5080 - Marxian Economics","MATH 2210 - Calculus III","COTTONWOOD HIGH SCHO","WATERFORD HIGH SCHOO",NA,NA,NA,"0","0","0","0","0",5120,1,1128,"GEOG"
"43","2","56","0","0","0","2","103","20.2","50%","69%","88%","13%","88%","3%","13.6","21.5","29.7","2.98","3.48","3.05","Undeclared","Sociology","Psychology","Business","Education","Social Work","Exercise & Sport Sci","Physics","Nursing","Chemistry","51%","23%","17%","9%","0%","WRTG 2010 - Intermediate Writing","MATH 1010 - Intrm Algebra","CHEM 1210 - General Chemistry I","HIST 1700 - American Civilization","MUSC 1010 - Introduction to Music","HIGHLAND HIGH SCHOOL","PARK CITY HIGH SCHOO","BRIGHTON HIGH SCHOOL","OLYMPUS HIGH SCHOOL","JORDAN HIGH SCHOOL","SALT LAKE COMMUNITY COLLEGE","ADAMS STATE COLLEGE","BRIGHAM YOUNG UNIVERSITY","DIXIE STATE COLLEGE","FRONT RANGE COMMUNITY COLLEGE",1010,1,1134,"GEOG"
"40","1","60","0","0","0","2","103","24.5","39%","70%","72%","34%","87%","7%","13.3","43.9","59.3","2.98","3.54","3.20","Psychology","Undeclared","Nursing","Medicine","Biology","Business","Film and Media Arts","Communication","Ballet","Exercise & Sport Sci","7%","30%","21%","42%","0%","SOC 3565 - Women and Crime","BIOL 2325 - Human Anatomy","CHEM 2310 - Organic Chemistry I","PSY 1010 - General Psychology","SOC 3561 - Criminology","HIGHLAND HIGH SCHOOL","BRIGHTON HIGH SCHOOL","JORDAN HIGH SCHOOL","TOOELE HIGH SCHOOL","ALTA HIGH SCHOOL","SALT LAKE COMMUNITY COLLEGE","UTAH VALLEY UNIVERSITY","WEBER STATE UNIVERSITY","LDS BUSINESS COLLEGE","BRIGHAM YOUNG UNIVERSITY",1010,90,1134,"GEOG"
"6","0","52","0","0","0","0","58","27.6","26%","59%","79%","57%","93%","0%","13.2","58.7","59.0","3.12","3.34","3.12","Sociology","Psychology","Economics","Political Science","Undeclared","Social Work","Mass Communication","Health, Society and Policy","Mid East Std:Arabic","Human Develop & Family Std","2%","2%","34%","62%","0%","SOC 3111 - Research Methods","SOC 1015 - Doing Sociology","SOC 3112 - Social Statistics","SOC 3440 - Sociology of Religion","SOC 3560 - Deviant Beh/Soc Control","BRIGHTON HIGH SCHOOL","OLYMPUS HIGH SCHOOL","SKYLINE HIGH SCHOOL","BATTLE CREEK CNTRL H","CHINO HIGH SCHOOL","SALT LAKE COMMUNITY COLLEGE","UTAH VALLEY UNIVERSITY","BRIGHAM YOUNG UNIVERSITY","LDS BUSINESS COLLEGE","SOUTHERN UTAH UNIVERSITY",3140,90,1134,"GEOG"
"58","0","46","0","0","0","1","105","21.9","36%","67%","78%","25%","90%","8%","13.0","31.9","56.1","2.92","3.51","3.18","Undeclared","Psychology","Nursing","Political Science","Computer Science","Medicine","Business","Social Work","Sociology","Communication","23%","34%","15%","28%","0%","CS 1410 - Object-Oriented Prog","POLS 1100 - US National Govt","CHEM 1215 - General Chemistry Lab I","CHEM 1210 - General Chemistry I","SOC 1015 - Doing Sociology","JUDGE MEMORIAL HIGH","BRIGHTON HIGH SCHOOL","BINGHAM HIGH SCHOOL","COPPER HILLS HIGH SC","EAST HIGH SCHOOL","SALT LAKE COMMUNITY COLLEGE","WEBER STATE UNIVERSITY","UTAH VALLEY UNIVERSITY","BRIGHAM YOUNG UNIVERSITY","BRIGHAM YOUNG UNIVERSITY - IDAHO",1010,90,1138,"GEOG"
"12","0","30","0","0","0","0","42","22.6","50%","67%","86%","38%","88%","2%","12.8","42.2","58.8","3.07","3.53","3.12","Sociology","Psychology","Undeclared","Political Science","Film and Media Arts","Anthropology","History Tchg","Law","Business","Health, Society and Policy","2%","12%","38%","48%","0%","SOC 3112 - Social Statistics","SOC 3563 - Good Cop, Bad Cop","SOC 1015 - Doing Sociology","SOC 3561 - Criminology","SOC 3111 - Research Methods","ALTA HIGH SCHOOL","COPPER HILLS HIGH SC","DAVIS HIGH SCHOOL","HUNTER HIGH SCHOOL","WEST HIGH SCHOOL","SALT LAKE COMMUNITY COLLEGE","BRIGHAM YOUNG UNIVERSITY","CLACKAMAS COMMUNITY COLLEGE","EL CAMINO COLLEGE","QUINSIGAMOND COMMUNITY COLLEGE",3140,1,1138,"GEOG"
"26","0","28","0","0","0","0","54","24.7","50%","69%","69%","39%","83%","6%","12.7","39.1","51.0","2.99","3.51","3.26","Psychology","Undeclared","Business","Social Work","Political Science","Chemistry","Film and Media Arts","Sociology","Business Administration","Communication","17%","19%","30%","35%","0%","EAE 1410 - Int Objct-Oriented Prog","SOC 1015 - Doing Sociology","WRTG 2010 - Intermediate Writing","PSY 1010 - General Psychology","POLS 1100 - US National Govt","BRIGHTON HIGH SCHOOL","SKYLINE HIGH SCHOOL","BINGHAM HIGH SCHOOL","HILLCREST HIGH SCHOO","AMES - ACAD MATH ENG","SALT LAKE COMMUNITY COLLEGE","CALIFORNIA STATE UNIVERSITY LONG BEACH","COLUMBIA COLLEGE","LDS BUSINESS COLLEGE","BUTTE COLLEGE",1010,90,1144,"GEOG"
"19","0","59","0","0","0","0","78","25.0","49%","55%","73%","50%","90%","0%","13.1","58.3","56.8","3.08","3.36","3.20","Sociology","Psychology","Political Science","Health, Society and Policy","Business","Economics","Communication","Undeclared","Accounting","Human Develop & Family Std","3%","6%","41%","50%","0%","SOC 3440 - Sociology of Religion","SOC 3111 - Research Methods","SOC 3112 - Social Statistics","SOC 3569 - Terrorism, Violence, Aggr","HSP 5000 - HSP Capstone","SKYLINE HIGH SCHOOL","BINGHAM HIGH SCHOOL","HIGHLAND HIGH SCHOOL","PARK CITY HIGH SCHOO","TAYLORSVILLE HIGH SC","SALT LAKE COMMUNITY COLLEGE","UTAH VALLEY UNIVERSITY","BRIGHAM YOUNG UNIVERSITY","CAMDEN COUNTY COLLEGE","LDS BUSINESS COLLEGE",3140,90,1144,"GEOG"
"24","0","100","0","0","0","0","124","26.0","39%","73%","65%","56%","92%","2%","12.5","60.3","62.9","3.01","3.41","3.19","Sociology","Health, Society and Policy","Communication","Biology","Psychology","Health Promotion & Educatn","International Studies","Undeclared","Human Develop & Family Std","Business","2%","8%","24%","66%","0%","HSP 5000 - HSP Capstone","SOC 3673 - Social Epidemiology","SOC 3111 - Research Methods","SOC 3112 - Social Statistics","PSY 3010 - Research Methods Psych","WEST HIGH SCHOOL","HIGHLAND HIGH SCHOOL","ALTA HIGH SCHOOL","EAST HIGH SCHOOL","SKYLINE HIGH SCHOOL","SALT LAKE COMMUNITY COLLEGE","SNOW COLLEGE","DIXIE STATE UNIVERSITY","LDS BUSINESS COLLEGE","UTAH VALLEY UNIVERSITY",3650,90,1144,"GEOG"
